job_id,job_type,team,priority,region,submit_time,earliest_start_time,deadline,runtime_hours,power_kw,deferrable,container_image,cpu_request,memory_request,carbon_budget_kg
GS-JOB-000001,DATA_PROCESSING,operations,MEDIUM,IN-TG,2026-04-01T01:15:00+00:00,2026-04-01T01:15:00+00:00,2026-04-01T08:41:00+00:00,0.78,3.0,TRUE,greenshift/sample-workload:latest,500m,1Gi,2.17
GS-JOB-000002,ETL,ml-platform,MEDIUM,IN-GJ,2026-04-01T05:45:00+00:00,2026-04-01T05:45:00+00:00,2026-04-01T11:55:00+00:00,1.28,4.7,TRUE,greenshift/sample-workload:latest,500m,1Gi,5.82
GS-JOB-000003,ETL,data-engineering,CRITICAL,IN-WB,2026-04-01T06:30:00+00:00,2026-04-01T06:30:00+00:00,2026-04-01T08:13:48+00:00,1.73,6.7,FALSE,greenshift/sample-workload:latest,1000m,2Gi,14.4
GS-JOB-000004,ETL,data-engineering,HIGH,IN-PB,2026-04-01T06:30:00+00:00,2026-04-01T06:30:00+00:00,2026-04-01T11:13:00+00:00,1.67,3.0,TRUE,greenshift/sample-workload:latest,500m,1Gi,4.13
GS-JOB-000005,ETL,finance,MEDIUM,US-CA,2026-04-01T08:45:00+00:00,2026-04-01T08:45:00+00:00,2026-04-01T12:44:00+00:00,1.37,8.3,TRUE,greenshift/sample-workload:latest,1000m,2Gi,10.03
GS-JOB-000006,REPORT_GENERATION,analytics,LOW,US-NY,2026-04-01T09:45:00+00:00,2026-04-01T09:45:00+00:00,2026-04-01T17:16:00+00:00,0.97,3.0,TRUE,greenshift/sample-workload:latest,500m,1Gi,3.38
GS-JOB-000007,BACKUP,finance,MEDIUM,US-TX,2026-04-01T10:15:00+00:00,2026-04-01T10:15:00+00:00,2026-04-02T21:22:00+00:00,1.37,5.0,TRUE,greenshift/sample-workload:latest,500m,1Gi,5.59
GS-JOB-000008,REPORT_GENERATION,analytics,HIGH,SE,2026-04-01T10:30:00+00:00,2026-04-01T10:30:00+00:00,2026-04-01T15:37:00+00:00,2.92,3.0,TRUE,greenshift/sample-workload:latest,500m,1Gi,8.14
GS-JOB-000009,ETL,data-engineering,LOW,AU-SA-Large,2026-04-01T15:30:00+00:00,2026-04-01T15:30:00+00:00,2026-04-02T14:54:00+00:00,2.22,5.3,TRUE,greenshift/sample-workload:latest,500m,1Gi,14.32
GS-JOB-000010,ETL,data-engineering,HIGH,AU-SA-Small,2026-04-01T15:30:00+00:00,2026-04-01T15:30:00+00:00,2026-04-01T21:07:00+00:00,1.88,8.2,TRUE,greenshift/sample-workload:latest,1000m,2Gi,20.02
GS-JOB-000011,REPORT_GENERATION,operations,HIGH,IN-TG,2026-04-01T16:00:00+00:00,2026-04-01T16:00:00+00:00,2026-04-01T19:46:00+00:00,1.7,2.7,TRUE,greenshift/sample-workload:latest,250m,256Mi,5.86
GS-JOB-000012,ETL,data-engineering,MEDIUM,IN-GJ,2026-04-01T17:00:00+00:00,2026-04-01T17:00:00+00:00,2026-04-02T05:26:00+00:00,2.6,3.7,TRUE,greenshift/sample-workload:latest,500m,1Gi,12.9
GS-JOB-000013,ETL,ml-platform,HIGH,IN-WB,2026-04-01T17:30:00+00:00,2026-04-01T17:30:00+00:00,2026-04-02T07:50:00+00:00,2.33,6.8,TRUE,greenshift/sample-workload:latest,1000m,2Gi,15.51
GS-JOB-000014,IMAGE_PROCESSING,analytics,HIGH,IN-PB,2026-04-01T17:30:00+00:00,2026-04-01T17:30:00+00:00,2026-04-02T03:33:00+00:00,4.1,16.9,TRUE,greenshift/sample-workload:latest,2000m,4Gi,82.46
GS-JOB-000015,ETL,data-engineering,MEDIUM,US-CA,2026-04-01T17:45:00+00:00,2026-04-01T17:45:00+00:00,2026-04-03T09:57:00+00:00,1.75,6.4,TRUE,greenshift/sample-workload:latest,1000m,2Gi,12.28
GS-JOB-000016,ANALYTICS,ml-platform,LOW,US-NY,2026-04-01T18:00:00+00:00,2026-04-01T18:00:00+00:00,2026-04-01T18:24:00+00:00,0.4,4.0,FALSE,greenshift/sample-workload:latest,500m,1Gi,2.41
GS-JOB-000017,DATA_PROCESSING,finance,MEDIUM,US-TX,2026-04-01T18:30:00+00:00,2026-04-01T18:30:00+00:00,2026-04-02T23:13:00+00:00,0.97,2.8,TRUE,greenshift/sample-workload:latest,250m,512Mi,2.74
GS-JOB-000018,DATA_PROCESSING,operations,LOW,SE,2026-04-01T18:30:00+00:00,2026-04-01T18:30:00+00:00,2026-04-02T01:28:00+00:00,0.73,2.3,TRUE,greenshift/sample-workload:latest,250m,512Mi,1.95
GS-JOB-000019,BACKUP,operations,MEDIUM,AU-SA-Large,2026-04-01T18:45:00+00:00,2026-04-01T18:45:00+00:00,2026-04-03T12:51:00+00:00,2.1,4.4,TRUE,greenshift/sample-workload:latest,500m,1Gi,10.23
GS-JOB-000020,REPORT_GENERATION,operations,LOW,AU-SA-Small,2026-04-01T19:15:00+00:00,2026-04-01T19:15:00+00:00,2026-04-02T00:37:00+00:00,1.93,3.7,TRUE,greenshift/sample-workload:latest,500m,1Gi,8.52
GS-JOB-000021,ETL,data-engineering,MEDIUM,IN-TG,2026-04-01T20:30:00+00:00,2026-04-01T20:30:00+00:00,2026-04-02T00:27:00+00:00,3.95,2.3,FALSE,greenshift/sample-workload:latest,250m,512Mi,11.82
GS-JOB-000022,ETL,data-engineering,MEDIUM,IN-GJ,2026-04-01T22:30:00+00:00,2026-04-01T22:30:00+00:00,2026-04-02T02:01:12+00:00,3.52,2.5,FALSE,greenshift/sample-workload:latest,250m,512Mi,13.21
GS-JOB-000023,ETL,ml-platform,MEDIUM,IN-WB,2026-04-01T23:30:00+00:00,2026-04-01T23:30:00+00:00,2026-04-03T16:22:00+00:00,0.87,8.2,TRUE,greenshift/sample-workload:latest,1000m,2Gi,9.27
GS-JOB-000024,ETL,data-engineering,MEDIUM,IN-PB,2026-04-02T00:45:00+00:00,2026-04-02T00:45:00+00:00,2026-04-02T05:31:00+00:00,3.6,8.7,TRUE,greenshift/sample-workload:latest,1000m,2Gi,28.48
GS-JOB-000025,DATA_PROCESSING,operations,MEDIUM,US-CA,2026-04-02T01:45:00+00:00,2026-04-02T01:45:00+00:00,2026-04-03T18:46:00+00:00,1.02,2.7,TRUE,greenshift/sample-workload:latest,250m,512Mi,2.7
GS-JOB-000026,ETL,operations,MEDIUM,US-NY,2026-04-02T05:30:00+00:00,2026-04-02T05:30:00+00:00,2026-04-02T10:10:00+00:00,2.37,3.3,TRUE,greenshift/sample-workload:latest,500m,1Gi,8.89
GS-JOB-000027,ETL,analytics,MEDIUM,US-TX,2026-04-02T07:45:00+00:00,2026-04-02T07:45:00+00:00,2026-04-02T09:45:00+00:00,1.07,6.3,TRUE,greenshift/sample-workload:latest,1000m,2Gi,7.36
